"","paper_no","author","term","n","total"
"4490",12,"Hamilton","land",5,2148
"4491",12,"Hamilton","more",5,2148
"4492",12,"Hamilton","much",5,2148
"4493",12,"Hamilton","one",5,2148
"4494",12,"Hamilton","our",5,2148
"4495",12,"Hamilton","we",5,2148
"4496",13,"Hamilton","by",5,960
"4497",13,"Hamilton","civil",5,960
"4498",13,"Hamilton","confederacies",5,960
"4499",13,"Hamilton","from",5,960
"4500",13,"Hamilton","less",5,960
"4501",13,"Hamilton","not",5,960
"4502",13,"Hamilton","power",5,960
"4503",13,"Hamilton","this",5,960
"4504",14,"Madison","citizens",5,2150
"4505",14,"Madison","democracy",5,2150
"4506",14,"Madison","governments",5,2150
"4507",14,"Madison","new",5,2150
"4508",14,"Madison","own",5,2150
"4509",14,"Madison","people",5,2150
"4510",14,"Madison","representatives",5,2150
"4511",14,"Madison","than",5,2150
"4512",14,"Madison","whole",5,2150
"4513",14,"Madison","would",5,2150
"4514",14,"Madison","your",5,2150
"4515",15,"Hamilton","common",5,3066
"4516",15,"Hamilton","do",5,3066
"4517",15,"Hamilton","each",5,3066
"4518",15,"Hamilton","execution",5,3066
"4519",15,"Hamilton","federal",5,3066
"4520",15,"Hamilton","first",5,3066
"4521",15,"Hamilton","interest",5,3066
"4522",15,"Hamilton","laws",5,3066
"4523",15,"Hamilton","members",5,3066
"4524",15,"Hamilton","political",5,3066
"4525",15,"Hamilton","principle",5,3066
"4526",15,"Hamilton","public",5,3066
"4527",15,"Hamilton","state",5,3066
"4528",16,"Hamilton","constitution",5,2037
"4529",16,"Hamilton","even",5,2037
"4530",16,"Hamilton","had",5,2037
"4531",16,"Hamilton","kind",5,2037
"4532",16,"Hamilton","may",5,2037
"4533",16,"Hamilton","members",5,2037
"4534",16,"Hamilton","most",5,2037
"4535",16,"Hamilton","principle",5,2037
"4536",16,"Hamilton","who",5,2037
"4537",17,"Hamilton","are",5,1564
"4538",17,"Hamilton","authority",5,1564
"4539",17,"Hamilton","from",5,1564
"4540",17,"Hamilton","influence",5,1564
"4541",17,"Hamilton","nature",5,1564
"4542",17,"Hamilton","sovereign",5,1564
"4543",17,"Hamilton","than",5,1564
"4544",18,"Joint","among",5,2087
"4545",18,"Joint","amphictyonic",5,2087
"4546",18,"Joint","an",5,2087
"4547",18,"Joint","arts",5,2087
"4548",18,"Joint","federal",5,2087
"4549",18,"Joint","have",5,2087
"4550",18,"Joint","her",5,2087
"4551",18,"Joint","into",5,2087
"4552",18,"Joint","laws",5,2087
"4553",18,"Joint","philip",5,2087
"4554",18,"Joint","powerful",5,2087
"4555",18,"Joint","such",5,2087
"4556",18,"Joint","those",5,2087
"4557",18,"Joint","under",5,2087
"4558",18,"Joint","when",5,2087
"4559",19,"Joint","all",5,2021
"4560",19,"Joint","at",5,2021
"4561",19,"Joint","city",5,2021
"4562",19,"Joint","confederacy",5,2021
"4563",19,"Joint","may",5,2021
"4564",19,"Joint","other",5,2021
"4565",19,"Joint","peace",5,2021
"4566",19,"Joint","princes",5,2021
"4567",19,"Joint","public",5,2021
"4568",19,"Joint","sovereign",5,2021
"4569",19,"Joint","troops",5,2021
"4570",19,"Joint","were",5,2021
"4571",20,"Joint","an",5,1518
"4572",20,"Joint","but",5,1518
"4573",20,"Joint","constitution",5,1518
"4574",20,"Joint","than",5,1518
"4575",20,"Joint","them",5,1518
"4576",21,"Hamilton","could",5,1993
"4577",21,"Hamilton","for",5,1993
"4578",21,"Hamilton","lands",5,1993
"4579",21,"Hamilton","power",5,1993
"4580",21,"Hamilton","shall",5,1993
"4581",21,"Hamilton","should",5,1993
"4582",21,"Hamilton","total",5,1993
"4583",21,"Hamilton","union",5,1993
"4584",21,"Hamilton","value",5,1993
"4585",21,"Hamilton","want",5,1993
"4586",21,"Hamilton","who",5,1993
"4587",22,"Hamilton","between",5,3477
"4588",22,"Hamilton","can",5,3477
"4589",22,"Hamilton","even",5,3477
"4590",22,"Hamilton","first",5,3477
"4591",22,"Hamilton","great",5,3477
"4592",22,"Hamilton","how",5,3477
"4593",22,"Hamilton","kind",5,3477
"4594",22,"Hamilton","necessary",5,3477
"4595",22,"Hamilton","other",5,3477
"4596",22,"Hamilton","others",5,3477
"4597",22,"Hamilton","powers",5,3477
"4598",22,"Hamilton","right",5,3477
"4599",22,"Hamilton","sense",5,3477
"4600",22,"Hamilton","several",5,3477
"4601",22,"Hamilton","though",5,3477
"4602",22,"Hamilton","united",5,3477
"4603",22,"Hamilton","war",5,3477
"4604",22,"Hamilton","where",5,3477
"4605",23,"Hamilton","essential",5,1797
"4606",23,"Hamilton","has",5,1797
"4607",23,"Hamilton","interests",5,1797
"4608",23,"Hamilton","made",5,1797
"4609",23,"Hamilton","safety",5,1797
"4610",23,"Hamilton","states",5,1797
"4611",24,"Hamilton","armies",5,1820
"4612",24,"Hamilton","but",5,1820
"4613",24,"Hamilton","had",5,1820
"4614",24,"Hamilton","his",5,1820
"4615",24,"Hamilton","necessity",5,1820
"4616",24,"Hamilton","other",5,1820
"4617",24,"Hamilton","plan",5,1820
"4618",24,"Hamilton","standing",5,1820
"4619",24,"Hamilton","with",5,1820
"4620",25,"Hamilton","armies",5,1982
"4621",25,"Hamilton","has",5,1982
"4622",25,"Hamilton","if",5,1982
"4623",25,"Hamilton","liberty",5,1982
"4624",25,"Hamilton","members",5,1982
"4625",25,"Hamilton","must",5,1982
"4626",25,"Hamilton","some",5,1982
"4627",25,"Hamilton","under",5,1982
"4628",25,"Hamilton","up",5,1982
"4629",25,"Hamilton","us",5,1982
"4630",26,"Hamilton","armies",5,2373
"4631",26,"Hamilton","between",5,2373
"4632",26,"Hamilton","can",5,2373
"4633",26,"Hamilton","community",5,2373
"4634",26,"Hamilton","country",5,2373
"4635",26,"Hamilton","danger",5,2373
"4636",26,"Hamilton","kept",5,2373
"4637",26,"Hamilton","one",5,2373
"4638",26,"Hamilton","only",5,2373
"4639",26,"Hamilton","ought",5,2373
"4640",26,"Hamilton","our",5,2373
"4641",26,"Hamilton","point",5,2373
"4642",26,"Hamilton","public",5,2373
"4643",26,"Hamilton","revolution",5,2373
"4644",26,"Hamilton","rights",5,2373
"4645",26,"Hamilton","standing",5,2373
"4646",26,"Hamilton","than",5,2373
"4647",26,"Hamilton","those",5,2373
"4648",26,"Hamilton","up",5,2373
"4649",27,"Hamilton","an",5,1418
"4650",27,"Hamilton","been",5,1418
"4651",27,"Hamilton","but",5,1418
"4652",27,"Hamilton","force",5,1418
"4653",27,"Hamilton","from",5,1418
"4654",27,"Hamilton","have",5,1418
"4655",27,"Hamilton","if",5,1418
"4656",27,"Hamilton","less",5,1418
"4657",27,"Hamilton","national",5,1418
"4658",27,"Hamilton","reasons",5,1418
"4659",27,"Hamilton","these",5,1418
"4660",27,"Hamilton","they",5,1418
"4661",28,"Hamilton","authority",5,1590
"4662",28,"Hamilton","extent",5,1590
"4663",28,"Hamilton","general",5,1590
"4664",28,"Hamilton","governments",5,1590
"4665",28,"Hamilton","has",5,1590
"4666",28,"Hamilton","militia",5,1590
"4667",28,"Hamilton","opposition",5,1590
"4668",28,"Hamilton","part",5,1590
"4669",28,"Hamilton","states",5,1590
"4670",28,"Hamilton","them",5,1590
"4671",29,"Hamilton","authority",5,2239
"4672",29,"Hamilton","body",5,2239
"4673",29,"Hamilton","citizens",5,2239
"4674",29,"Hamilton","danger",5,2239
"4675",29,"Hamilton","even",5,2239
"4676",29,"Hamilton","has",5,2239
"4677",29,"Hamilton","national",5,2239
"4678",29,"Hamilton","no",5,2239
"4679",29,"Hamilton","over",5,2239
"4680",29,"Hamilton","plan",5,2239
"4681",29,"Hamilton","possible",5,2239
"4682",29,"Hamilton","same",5,2239
"4683",29,"Hamilton","we",5,2239
"4684",29,"Hamilton","well",5,2239
"4685",30,"Hamilton","all",5,1964
"4686",30,"Hamilton","might",5,1964
"4687",30,"Hamilton","necessities",5,1964
"4688",30,"Hamilton","no",5,1964
"4689",30,"Hamilton","one",5,1964
"4690",30,"Hamilton","resources",5,1964
"4691",30,"Hamilton","situation",5,1964
"4692",30,"Hamilton","state",5,1964
"4693",30,"Hamilton","states",5,1964
"4694",30,"Hamilton","such",5,1964
"4695",30,"Hamilton","system",5,1964
"4696",30,"Hamilton","taxation",5,1964
"4697",30,"Hamilton","there",5,1964
"4698",30,"Hamilton","those",5,1964
"4699",30,"Hamilton","though",5,1964
"4700",30,"Hamilton","we",5,1964
"4701",31,"Hamilton","against",5,1730
"4702",31,"Hamilton","any",5,1730
"4703",31,"Hamilton","at",5,1730
"4704",31,"Hamilton","been",5,1730
"4705",31,"Hamilton","every",5,1730
"4706",31,"Hamilton","into",5,1730
"4707",31,"Hamilton","means",5,1730
"4708",31,"Hamilton","might",5,1730
"4709",31,"Hamilton","on",5,1730
"4710",31,"Hamilton","people",5,1730
"4711",31,"Hamilton","would",5,1730
"4712",32,"Hamilton","case",5,1483
"4713",32,"Hamilton","cases",5,1483
"4714",32,"Hamilton","congress",5,1483
"4715",32,"Hamilton","exercise",5,1483
"4716",32,"Hamilton","first",5,1483
"4717",32,"Hamilton","have",5,1483
"4718",32,"Hamilton","lay",5,1483
"4719",32,"Hamilton","national",5,1483
"4720",32,"Hamilton","other",5,1483
"4721",32,"Hamilton","rule",5,1483
"4722",32,"Hamilton","sense",5,1483
"4723",32,"Hamilton","shall",5,1483
"4724",32,"Hamilton","such",5,1483
"4725",32,"Hamilton","taxes",5,1483
"4726",32,"Hamilton","where",5,1483
"4727",32,"Hamilton","with",5,1483
"4728",33,"Hamilton","against",5,1684
"4729",33,"Hamilton","i",5,1684
"4730",33,"Hamilton","nor",5,1684
"4731",33,"Hamilton","on",5,1684
"4732",33,"Hamilton","only",5,1684
"4733",33,"Hamilton","political",5,1684
"4734",33,"Hamilton","taxes",5,1684
"4735",33,"Hamilton","their",5,1684
"4736",33,"Hamilton","truth",5,1684
"4737",33,"Hamilton","with",5,1684
"4738",34,"Hamilton","authority",5,2210
"4739",34,"Hamilton","debts",5,2210
"4740",34,"Hamilton","part",5,2210
"4741",34,"Hamilton","particular",5,2210
"4742",34,"Hamilton","peace",5,2210
"4743",34,"Hamilton","proper",5,2210
"4744",34,"Hamilton","provision",5,2210
"4745",34,"Hamilton","resources",5,2210
"4746",34,"Hamilton","what",5,2210
"4747",35,"Hamilton","always",5,2251
"4748",35,"Hamilton","been",5,2251
"4749",35,"Hamilton","different",5,2251
"4750",35,"Hamilton","every",5,2251
"4751",35,"Hamilton","great",5,2251
"4752",35,"Hamilton","happen",5,2251
"4753",35,"Hamilton","i",5,2251
"4754",35,"Hamilton","into",5,2251
"4755",35,"Hamilton","likely",5,2251
"4756",35,"Hamilton","merchants",5,2251
"4757",35,"Hamilton","most",5,2251
"4758",35,"Hamilton","natural",5,2251
"4759",35,"Hamilton","one",5,2251
"4760",35,"Hamilton","people",5,2251
"4761",35,"Hamilton","power",5,2251
"4762",35,"Hamilton","proportion",5,2251
"4763",35,"Hamilton","representative",5,2251
"4764",35,"Hamilton","take",5,2251
"4765",35,"Hamilton","there",5,2251
"4766",36,"Hamilton","between",5,2948
"4767",36,"Hamilton","even",5,2948
"4768",36,"Hamilton","far",5,2948
"4769",36,"Hamilton","influence",5,2948
"4770",36,"Hamilton","internal",5,2948
"4771",36,"Hamilton","kind",5,2948
"4772",36,"Hamilton","laws",5,2948
"4773",36,"Hamilton","make",5,2948
"4774",36,"Hamilton","might",5,2948
"4775",36,"Hamilton","officers",5,2948
"4776",36,"Hamilton","should",5,2948
"4777",36,"Hamilton","use",5,2948
"4778",36,"Hamilton","well",5,2948
"4779",36,"Hamilton","what",5,2948
"4780",37,"Madison","between",5,2709
"4781",37,"Madison","constitution",5,2709
"4782",37,"Madison","each",5,2709
"4783",37,"Madison","frequent",5,2709
"4784",37,"Madison","his",5,2709
"4785",37,"Madison","important",5,2709
"4786",37,"Madison","interests",5,2709
"4787",37,"Madison","into",5,2709
"4788",37,"Madison","men",5,2709
"4789",37,"Madison","no",5,2709
"4790",37,"Madison","obscurity",5,2709
"4791",37,"Madison","opinions",5,2709
"4792",37,"Madison","people",5,2709
"4793",37,"Madison","public",5,2709
"4794",37,"Madison","than",5,2709
"4795",37,"Madison","yet",5,2709
"4796",38,"Madison","agreed",5,3319
"4797",38,"Madison","bill",5,3319
"4798",38,"Madison","case",5,3319
"4799",38,"Madison","danger",5,3319
"4800",38,"Madison","federal",5,3319
"4801",38,"Madison","i",5,3319
"4802",38,"Madison","indefinite",5,3319
"4803",38,"Madison","latter",5,3319
"4804",38,"Madison","made",5,3319
"4805",38,"Madison","necessity",5,3319
"4806",38,"Madison","ought",5,3319
"4807",38,"Madison","patient",5,3319
"4808",38,"Madison","people",5,3319
"4809",38,"Madison","plan",5,3319
"4810",38,"Madison","same",5,3319
"4811",38,"Madison","senate",5,3319
"4812",38,"Madison","substituted",5,3319
"4813",38,"Madison","under",5,3319
"4814",38,"Madison","without",5,3319
"4815",39,"Madison","again",5,2606
"4816",39,"Madison","assent",5,2606
"4817",39,"Madison","first",5,2606
"4818",39,"Madison","if",5,2606
"4819",39,"Madison","indirectly",5,2606
"4820",39,"Madison","must",5,2606
"4821",39,"Madison","nation",5,2606
"4822",39,"Madison","neither",5,2606
"4823",39,"Madison","operation",5,2606
"4824",39,"Madison","ordinary",5,2606
"4825",39,"Madison","principles",5,2606
"4826",39,"Madison","united",5,2606
"4827",40,"Madison","against",5,3014
"4828",40,"Madison","appointed",5,3014
"4829",40,"Madison","authorized",5,3014
"4830",40,"Madison","cases",5,3014
"4831",40,"Madison","do",5,3014
"4832",40,"Madison","even",5,3014
"4833",40,"Madison","exigencies",5,3014
"4834",40,"Madison","great",5,3014
"4835",40,"Madison","immediately",5,3014
"4836",40,"Madison","legislatures",5,3014
"4837",40,"Madison","means",5,3014
"4838",40,"Madison","only",5,3014
"4839",40,"Madison","part",5,3014
"4840",40,"Madison","state",5,3014
"4841",40,"Madison","than",5,3014
"4842",40,"Madison","what",5,3014
"4843",40,"Madison","whether",5,3014
"4844",41,"Madison","ambition",5,3540
"4845",41,"Madison","at",5,3540
"4846",41,"Madison","authors",5,3540
"4847",41,"Madison","britain",5,3540
"4848",41,"Madison","congress",5,3540
"4849",41,"Madison","establishments",5,3540
"4850",41,"Madison","example",5,3540
"4851",41,"Madison","extensive",5,3540
"4852",41,"Madison","i",5,3540
"4853",41,"Madison","means",5,3540
"4854",41,"Madison","nation",5,3540
"4855",41,"Madison","objects",5,3540
"4856",41,"Madison","source",5,3540
"4857",41,"Madison","standing",5,3540
"4858",41,"Madison","term",5,3540
"4859",41,"Madison","themselves",5,3540
"4860",41,"Madison","very",5,3540
"4861",41,"Madison","years",5,3540
"4862",42,"Madison","federal",5,2774
"4863",42,"Madison","felonies",5,2774
"4864",42,"Madison","great",5,2774
"4865",42,"Madison","inhabitants",5,2774
"4866",42,"Madison","members",5,2774
"4867",42,"Madison","might",5,2774
"4868",42,"Madison","regulation",5,2774
"4869",42,"Madison","residence",5,2774
"4870",42,"Madison","seems",5,2774
"4871",42,"Madison","united",5,2774
"4872",43,"Madison","become",5,3426
"4873",43,"Madison","between",5,3426
"4874",43,"Madison","congress",5,3426
"4875",43,"Madison","each",5,3426
"4876",43,"Madison","experience",5,3426
"4877",43,"Madison","governments",5,3426
"4878",43,"Madison","less",5,3426
"4879",43,"Madison","majority",5,3426
"4880",43,"Madison","members",5,3426
"4881",43,"Madison","might",5,3426
"4882",43,"Madison","over",5,3426
"4883",43,"Madison","principle",5,3426
"4884",43,"Madison","those",5,3426
"4885",43,"Madison","under",5,3426
"4886",43,"Madison","validity",5,3426
"4887",43,"Madison","violence",5,3426
"4888",43,"Madison","who",5,3426
"4889",44,"Madison","articles",5,2896
"4890",44,"Madison","attempted",5,2896
"4891",44,"Madison","coin",5,2896
"4892",44,"Madison","existing",5,2896
"4893",44,"Madison","expressly",5,2896
"4894",44,"Madison","favor",5,2896
"4895",44,"Madison","law",5,2896
"4896",44,"Madison","less",5,2896
"4897",44,"Madison","made",5,2896
"4898",44,"Madison","one",5,2896
"4899",44,"Madison","people",5,2896
"4900",44,"Madison","place",5,2896
"4901",44,"Madison","public",5,2896
"4902",44,"Madison","right",5,2896
"4903",44,"Madison","seen",5,2896
"4904",44,"Madison","some",5,2896
"4905",45,"Madison","against",5,2116
"4906",45,"Madison","authority",5,2116
"4907",45,"Madison","every",5,2116
"4908",45,"Madison","far",5,2116
"4909",45,"Madison","happiness",5,2116
"4910",45,"Madison","most",5,2116
"4911",45,"Madison","particular",5,2116
"4912",45,"Madison","side",5,2116
"4913",45,"Madison","this",5,2116
"4914",46,"Madison","able",5,2614
"4915",46,"Madison","advantage",5,2614
"4916",46,"Madison","all",5,2614
"4917",46,"Madison","been",5,2614
"4918",46,"Madison","both",5,2614
"4919",46,"Madison","great",5,2614
"4920",46,"Madison","if",5,2614
"4921",46,"Madison","let",5,2614
"4922",46,"Madison","local",5,2614
"4923",46,"Madison","militia",5,2614
"4924",46,"Madison","number",5,2614
"4925",46,"Madison","officers",5,2614
"4926",46,"Madison","same",5,2614
"4927",46,"Madison","spirit",5,2614
"4928",46,"Madison","supposition",5,2614
"4929",46,"Madison","them",5,2614
"4930",46,"Madison","what",5,2614
"4931",47,"Madison","again",5,2739
"4932",47,"Madison","any",5,2739
"4933",47,"Madison","but",5,2739
"4934",47,"Madison","cases",5,2739
"4935",47,"Madison","chief",5,2739
"4936",47,"Madison","control",5,2739
"4937",47,"Madison","even",5,2739
"4938",47,"Madison","form",5,2739
"4939",47,"Madison","if",5,2739
"4940",47,"Madison","impeachment",5,2739
"4941",47,"Madison","judges",5,2739
"4942",47,"Madison","montesquieu",5,2739
"4943",47,"Madison","ought",5,2739
"4944",47,"Madison","political",5,2739
"4945",47,"Madison","prerogative",5,2739
"4946",47,"Madison","principal",5,2739
"4947",47,"Madison","than",5,2739
"4948",47,"Madison","two",5,2739
"4949",47,"Madison","vote",5,2739
"4950",48,"Madison","constitutional",5,1860
"4951",48,"Madison","council",5,1860
"4952",48,"Madison","several",5,1860
"4953",48,"Madison","so",5,1860
"4954",48,"Madison","was",5,1860
"4955",48,"Madison","where",5,1860
"4956",48,"Madison","who",5,1860
"4957",49,"Disputed","appeals",5,1646
"4958",49,"Disputed","constitutional",5,1646
"4959",49,"Disputed","convention",5,1646
"4960",49,"Disputed","every",5,1646
"4961",49,"Disputed","from",5,1646
"4962",49,"Disputed","great",5,1646
"4963",49,"Disputed","have",5,1646
"4964",49,"Disputed","legislative",5,1646
"4965",49,"Disputed","opinion",5,1646
"4966",49,"Disputed","party",5,1646
"4967",49,"Disputed","power",5,1646
"4968",49,"Disputed","they",5,1646
"4969",49,"Disputed","this",5,1646
"4970",49,"Disputed","who",5,1646
"4971",50,"Disputed","all",5,1101
"4972",50,"Disputed","any",5,1101
"4973",50,"Disputed","i",5,1101
"4974",50,"Disputed","measures",5,1101
"4975",50,"Disputed","parties",5,1101
"4976",50,"Disputed","some",5,1101
"4977",50,"Disputed","state",5,1101
"4978",50,"Disputed","with",5,1101
"4979",51,"Disputed","an",5,1914
"4980",51,"Disputed","control",5,1914
"4981",51,"Disputed","federal",5,1914
"4982",51,"Disputed","great",5,1914
"4983",51,"Disputed","independent",5,1914
"4984",51,"Disputed","into",5,1914
"4985",51,"Disputed","little",5,1914
"4986",51,"Disputed","more",5,1914
"4987",51,"Disputed","place",5,1914
"4988",51,"Disputed","republic",5,1914
"4989",51,"Disputed","same",5,1914
"4990",51,"Disputed","so",5,1914
"4991",51,"Disputed","weaker",5,1914
"4992",52,"Disputed","being",5,1840
"4993",52,"Disputed","biennial",5,1840
"4994",52,"Disputed","dependence",5,1840
"4995",52,"Disputed","every",5,1840
"4996",52,"Disputed","i",5,1840
"4997",52,"Disputed","if",5,1840
"4998",52,"Disputed","liberty",5,1840
"4999",52,"Disputed","ought",5,1840
"5000",52,"Disputed","same",5,1840
"5001",52,"Disputed","so",5,1840
"5002",52,"Disputed","they",5,1840
"5003",52,"Disputed","three",5,1840
"5004",52,"Disputed","time",5,1840
"5005",52,"Disputed","we",5,1840
"5006",53,"Disputed","attention",5,2164
"5007",53,"Disputed","become",5,2164
"5008",53,"Disputed","election",5,2164
"5009",53,"Disputed","liberty",5,2164
"5010",53,"Disputed","means",5,2164
"5011",53,"Disputed","objects",5,2164
"5012",53,"Disputed","single",5,2164
"5013",53,"Disputed","subject",5,2164
"5014",53,"Disputed","those",5,2164
"5015",53,"Disputed","time",5,2164
"5016",54,"Disputed","another",5,1996
"5017",54,"Disputed","equal",5,1996
"5018",54,"Disputed","government",5,1996
"5019",54,"Disputed","if",5,1996
"5020",54,"Disputed","into",5,1996
"5021",54,"Disputed","respect",5,1996
"5022",54,"Disputed","southern",5,1996
"5023",54,"Disputed","therefore",5,1996
"5024",54,"Disputed","votes",5,1996
"5025",54,"Disputed","wealth",5,1996
"5026",54,"Disputed","when",5,1996
"5027",55,"Disputed","all",5,2043
"5028",55,"Disputed","between",5,2043
"5029",55,"Disputed","but",5,2043
"5030",55,"Disputed","constituents",5,2043
"5031",55,"Disputed","constitution",5,2043
"5032",55,"Disputed","first",5,2043
"5033",55,"Disputed","government",5,2043
"5034",55,"Disputed","has",5,2043
"5035",55,"Disputed","if",5,2043
"5036",55,"Disputed","less",5,2043
"5037",55,"Disputed","ought",5,2043
"5038",55,"Disputed","proportion",5,2043
"5039",55,"Disputed","public",5,2043
"5040",55,"Disputed","sixty",5,2043
"5041",55,"Disputed","there",5,2043
"5042",55,"Disputed","three",5,2043
"5043",55,"Disputed","under",5,2043
"5044",55,"Disputed","within",5,2043
"5045",56,"Disputed","affairs",5,1637
"5046",56,"Disputed","at",5,1637
"5047",56,"Disputed","been",5,1637
"5048",56,"Disputed","eight",5,1637
"5049",56,"Disputed","hundred",5,1637
"5050",56,"Disputed","its",5,1637
"5051",56,"Disputed","legislature",5,1637
"5052",56,"Disputed","little",5,1637
"5053",56,"Disputed","made",5,1637
"5054",56,"Disputed","much",5,1637
"5055",56,"Disputed","one",5,1637
"5056",56,"Disputed","or",5,1637
"5057",56,"Disputed","other",5,1637
"5058",56,"Disputed","time",5,1637
"5059",57,"Disputed","against",5,2206
"5060",57,"Disputed","any",5,2206
"5061",57,"Disputed","choice",5,2206
"5062",57,"Disputed","great",5,2206
"5063",57,"Disputed","her",5,2206
"5064",57,"Disputed","less",5,2206
"5065",57,"Disputed","mode",5,2206
"5066",57,"Disputed","place",5,2206
"5067",57,"Disputed","public",5,2206
"5068",57,"Disputed","republican",5,2206
"5069",57,"Disputed","six",5,2206
"5070",57,"Disputed","some",5,2206
"5071",57,"Disputed","states",5,2206
"5072",57,"Disputed","those",5,2206
"5073",57,"Disputed","what",5,2206
"5074",58,"Disputed","any",5,2080
"5075",58,"Disputed","at",5,2080
"5076",58,"Disputed","can",5,2080
"5077",58,"Disputed","federal",5,2080
"5078",58,"Disputed","i",5,2080
"5079",58,"Disputed","just",5,2080
"5080",58,"Disputed","no",5,2080
"5081",58,"Disputed","one",5,2080
"5082",58,"Disputed","only",5,2080
"5083",58,"Disputed","over",5,2080
"5084",58,"Disputed","state",5,2080
"5085",58,"Disputed","subject",5,2080
"5086",58,"Disputed","than",5,2080
"5087",58,"Disputed","them",5,2080
"5088",58,"Disputed","who",5,2080
"5089",59,"Hamilton","constitution",5,1899
"5090",59,"Hamilton","each",5,1899
"5091",59,"Hamilton","existence",5,1899
"5092",59,"Hamilton","few",5,1899
"5093",59,"Hamilton","into",5,1899
"5094",59,"Hamilton","own",5,1899
"5095",59,"Hamilton","particular",5,1899
"5096",59,"Hamilton","people",5,1899
"5097",59,"Hamilton","those",5,1899
"5098",59,"Hamilton","who",5,1899
"5099",60,"Hamilton","between",5,2239
"5100",60,"Hamilton","councils",5,2239
"5101",60,"Hamilton","discrimination",5,2239
"5102",60,"Hamilton","either",5,2239
"5103",60,"Hamilton","ever",5,2239
"5104",60,"Hamilton","into",5,2239
"5105",60,"Hamilton","men",5,2239
"5106",60,"Hamilton","own",5,2239
"5107",60,"Hamilton","places",5,2239
"5108",60,"Hamilton","same",5,2239
"5109",60,"Hamilton","should",5,2239
"5110",60,"Hamilton","time",5,2239
"5111",60,"Hamilton","well",5,2239
"5112",61,"Hamilton","an",5,1516
"5113",61,"Hamilton","any",5,1516
"5114",61,"Hamilton","by",5,1516
"5115",61,"Hamilton","constitution",5,1516
"5116",61,"Hamilton","i",5,1516
"5117",61,"Hamilton","members",5,1516
"5118",61,"Hamilton","new",5,1516
"5119",61,"Hamilton","no",5,1516
"5120",61,"Hamilton","plan",5,1516
"5121",61,"Hamilton","representatives",5,1516
"5122",61,"Hamilton","their",5,1516
"5123",61,"Hamilton","there",5,1516
"5124",62,"Disputed","appointment",5,2382
"5125",62,"Disputed","at",5,2382
"5126",62,"Disputed","constitution",5,2382
"5127",62,"Disputed","councils",5,2382
"5128",62,"Disputed","if",5,2382
"5129",62,"Disputed","laws",5,2382
"5130",62,"Disputed","national",5,2382
"5131",62,"Disputed","new",5,2382
"5132",62,"Disputed","principles",5,2382
"5133",62,"Disputed","senators",5,2382
"5134",62,"Disputed","some",5,2382
"5135",62,"Disputed","state",5,2382
"5136",62,"Disputed","such",5,2382
"5137",62,"Disputed","them",5,2382
"5138",62,"Disputed","those",5,2382
"5139",62,"Disputed","well",5,2382
"5140",62,"Disputed","who",5,2382
"5141",62,"Disputed","would",5,2382
"5142",63,"Disputed","character",5,3039
"5143",63,"Disputed","examples",5,3039
"5144",63,"Disputed","first",5,3039
"5145",63,"Disputed","has",5,3039
"5146",63,"Disputed","house",5,3039
"5147",63,"Disputed","institution",5,3039
"5148",63,"Disputed","less",5,3039
"5149",63,"Disputed","many",5,3039
"5150",63,"Disputed","might",5,3039
"5151",63,"Disputed","national",5,3039
"5152",63,"Disputed","order",5,3039
"5153",63,"Disputed","part",5,3039
"5154",63,"Disputed","particular",5,3039
"5155",63,"Disputed","popular",5,3039
"5156",63,"Disputed","small",5,3039
"5157",63,"Disputed","state",5,3039
"5158",63,"Disputed","states",5,3039
"5159",63,"Disputed","term",5,3039
"5160",63,"Disputed","them",5,3039
"5161",63,"Disputed","those",5,3039
"5162",63,"Disputed","were",5,3039
"5163",63,"Disputed","whole",5,3039
"5164",63,"Disputed","without",5,3039
"5165",64,"Jay","able",5,2306
"5166",64,"Jay","at",5,2306
"5167",64,"Jay","attention",5,2306
"5168",64,"Jay","good",5,2306
"5169",64,"Jay","has",5,2306
"5170",64,"Jay","information",5,2306
"5171",64,"Jay","interests",5,2306
"5172",64,"Jay","new",5,2306
"5173",64,"Jay","people",5,2306
"5174",64,"Jay","persons",5,2306
"5175",64,"Jay","secrecy",5,2306
"5176",64,"Jay","senators",5,2306
"5177",64,"Jay","therefore",5,2306
"5178",64,"Jay","under",5,2306
"5179",64,"Jay","us",5,2306
"5180",64,"Jay","very",5,2306
"5181",64,"Jay","we",5,2306
"5182",64,"Jay","when",5,2306
"5183",64,"Jay","whether",5,2306
"5184",65,"Hamilton","but",5,2016
"5185",65,"Hamilton","can",5,2016
"5186",65,"Hamilton","cases",5,2016
"5187",65,"Hamilton","convention",5,2016
"5188",65,"Hamilton","could",5,2016
"5189",65,"Hamilton","decision",5,2016
"5190",65,"Hamilton","men",5,2016
"5191",65,"Hamilton","numerous",5,2016
"5192",65,"Hamilton","on",5,2016
"5193",65,"Hamilton","so",5,2016
"5194",65,"Hamilton","than",5,2016
"5195",65,"Hamilton","their",5,2016
"5196",65,"Hamilton","them",5,2016
"5197",65,"Hamilton","there",5,2016
"5198",66,"Hamilton","government",5,2221
"5199",66,"Hamilton","judges",5,2221
"5200",66,"Hamilton","must",5,2221
"5201",66,"Hamilton","no",5,2221
"5202",66,"Hamilton","plan",5,2221
"5203",66,"Hamilton","principle",5,2221
